"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7708","should display checkout sections and allow placing order","","Sat May 24 15:55:46 UTC 2025","passed","Sat May 24 15:55:54 UTC 2025","","Checkout Page Tests","",""
"","2644","should show error on invalid login","","Sat May 24 15:55:30 UTC 2025","passed","Sat May 24 15:55:33 UTC 2025","","Login Tests with Fixture","",""
"","1971","should add first product to cart and verify cart page has the product","","Sat May 24 15:55:37 UTC 2025","passed","Sat May 24 15:55:39 UTC 2025","","Add to Cart Tests","",""
"","6801","should fill payment details and confirm order","","Sat May 24 15:55:56 UTC 2025","passed","Sat May 24 15:56:02 UTC 2025","","Payment Tests","",""
"","2587","should login successfully with valid credentials","","Sat May 24 15:55:33 UTC 2025","passed","Sat May 24 15:55:36 UTC 2025","","Login Tests with Fixture","",""
"","3268","should remove a product from cart and verify cart is updated or empty","","Sat May 24 15:55:41 UTC 2025","passed","Sat May 24 15:55:44 UTC 2025","","Remove from Cart Tests","",""
